Code_Article,Libelle_Article,Rayon,Famille,Sous famille,Categorie,Sous_Categorie
660080017,"Eau Minerale MARWA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080087,Eau Minerale GARCI Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080108,Eau Minerale JANNET Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080127,"Eau Minerale AQUALINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080137,Eau Minerale AQUALINE Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080147,"Eau Minerale AQUALINE Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080156,Eau de Source JEKTISS Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320501 - EAUX DE SOURCE PLATES,11732050103 - UN LITRE ET PLUS,1173205010358 - 100CL ET PLUS
660080197,"Eau Minerale SAFIA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080207,"Eau Minerale SAFIA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080227,"Eau Minerale SABRINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080287,"Eau Minerale FOURAT Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080317,Eau Minerale FOURAT Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080337,Eau Minerale MARWA Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080347,"Eau Minerale MARWA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080387,Eau Minerale DIMA Pet 2 L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080417,Eau de Minerale MELLITI PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080437,"EAU DE Minerale MELLITI PET 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081137,"Eau Minerale PALMA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081147,"Eau Minerale PALMA Pet 1,5",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081157,Eau Minerale PALMA Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081187,"Eau Minerale CRISTALINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081197,"Eau Minerale CRISTALINE Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081247,Eau Minerale CRISTALINE Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081297,Eau Minerale PRIMAQUA 6L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081337,Eau Minerale CRISTALINE Pet 2 L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081357,Eau Minerale TIJEN Pet 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081367,Eau Minerale TIJEN Pet 0.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081377,EAU MINERALE PET 2L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081387,EAU MINERALE PET 1.5L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081397,EAU MINERALE PET 0.6L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081407,EAU MINERALE PET 0 5L DENYA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081457,Eau minerale Aqualine Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660081467,Eau min\00E9rale DELICE Pet 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081477,Eau min\00E9rale DELICE Pet 0.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660081487,Eau de source MIRA Pet 0.95L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320501 - EAUX DE SOURCE PLATES,11732050103 - UN LITRE ET PLUS,1173205010336 - AUTRES
660580017,Eau gazi GARCI Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320507 - EAUX MINERALES GAZEUSES,11732050703 - UN LITRE ET PLUS,1173205070358 - 100CL ET PLUS
660580106,Eau gazi JEKTISS Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320507 - EAUX MINERALES GAZEUSES,11732050703 - UN LITRE ET PLUS,1173205070358 - 100CL ET PLUS
660580156,"Eau gazi JEKTISS Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320507 - EAUX MINERALES GAZEUSES,11732050701 - MOINS D UN LITRE,1173205070156 - JUSQU A 50CL
660580217,Eau gazi Poire Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
660580227,Eau gazi Menthe Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
660580237,Eau gazi Pomme Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
660580247,Eau gazi Peche Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
660580427,Eau gazi ANANAS Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
660580467,Eau gazi fraise Delice DELIO 250ML,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
662000010,"B.Gaz Cola COCA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662000020,B.Gaz Cola  COCA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662000067,B.GAZ COLA COCA PET 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662000077,B.Gaz COCA COCA Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070162 - BOITE METAL
662000087,B.Gaz FANTA Orange Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090162 - BOITE METAL
662000147,B.GAZ BOGA S SUCRE PET 50Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010501 - MENTHE,1173201050158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662000157,B.Gaz BOGA Lim Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030162 - BOITE METAL
662000167,B.Gaz BOGA Cidre Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1
662000177,B.Gaz BOGA Lim Sans Sucre Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662000187,B.Gaz Apla Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010915 - POMME,1173201091562 - BOITE METAL
662000197,B.Gaz BOGA MENTHE Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662000207,B.Gaz Fanta Pomme Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080016,B.Gaz Cola COCA Pet 1.25L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662080027,"B.Gaz Cola Zero COCA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072058 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662080227,B.Gaz Cola Zero COCA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072058 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662080237,B.GAZ COLA ZERO COCA PET 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072059 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080357,B.GAZ COLA COCA PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080367,B.GAZ BOGA LIM PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080377,B.GAZ COCA COLA ZERO PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080387,B.GAZ BOGA MOJITO PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080397,EAU GAZI PECHE ABRICOT BOGA PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
662080407,EAU GAZI FRUIT ROUGE BOGA PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320511 - EAUX GAZEUSES AROMATISEES,11732051199 - AUTRES,1173205119956 - JUSQU A 50CL
662080417,FANTA ORANGE PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080427,B.GAZ BOGA SS SUCRE PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080437,B.G CIDRE PUNCH PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320111 - BOISSONS AUX FRUITS GAZEUSES,11732011199 - AUTRES,1173201119962 - BOITE METAL
662080447,B.G POMME PUNCH PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320111 - BOISSONS AUX FRUITS GAZEUSES,11732011199 - AUTRES,1173201119962 - BOITE METAL
662080457,B.G ORANGE PUNCH PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320111 - BOISSONS AUX FRUITS GAZEUSES,11732011199 - AUTRES,1173201119962 - BOITE METAL
662080467,B.G PULPE PUNCH PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
662080477,B.Gaz Lim PUNCH PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662080487,B.Gaz Lim PUNCH PET 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100017,B.Gaz Orange FANTA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100027,B.Gaz Lime BOGA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100057,B.Gaz Citron FANTA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010913 - CITRON,1173201091358 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100067,B.Gaz Indian Tonic SCHWEPPES Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050358 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100157,B.Gaz Cidre BOGA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1
662100167,B.Gaz Pomme APLA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010915 - POMME,1173201091558 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100177,B.Gaz Ananas SCHWEPPES Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010999 - AUTRES,1173201099902 - X1
662100207,"B.Gaz Orange FANTA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100217,"B.Gaz Citron FANTA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010913 - CITRON,1173201091358 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL
662100227,"B.Gaz Cidre BOGA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1
662100237,"B.Gaz Ananas SCHWEPPES Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010999 - AUTRES,1173201099902 - X1
662100327,B.GAZ ORANGE FANTA PET 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL
